------------------------------------------------------------
Server listening on TCP port 5566
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 5566 connected with 10.0.0.2 port 37862
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  4.52 MBytes  37.9 Mbits/sec
[  1] 1.0000-2.0000 sec  2.97 MBytes  24.9 Mbits/sec
[  1] 2.0000-3.0000 sec  6.36 MBytes  53.4 Mbits/sec
[  1] 3.0000-4.0000 sec  1.96 MBytes  16.4 Mbits/sec
[  1] 4.0000-5.0000 sec  3.98 MBytes  33.4 Mbits/sec
[  1] 5.0000-6.0000 sec  6.43 MBytes  53.9 Mbits/sec
[  1] 6.0000-7.0000 sec  6.35 MBytes  53.3 Mbits/sec
[  1] 7.0000-8.0000 sec  5.41 MBytes  45.4 Mbits/sec
[  1] 8.0000-9.0000 sec  5.37 MBytes  45.1 Mbits/sec
[  1] 9.0000-10.0000 sec   757 KBytes  6.20 Mbits/sec
[  1] 10.0000-11.0000 sec  4.26 MBytes  35.7 Mbits/sec
[  1] 11.0000-12.0000 sec  2.27 MBytes  19.0 Mbits/sec
[  1] 12.0000-13.0000 sec  8.70 MBytes  73.0 Mbits/sec
[  1] 13.0000-14.0000 sec  5.93 MBytes  49.7 Mbits/sec
[  1] 14.0000-15.0000 sec  9.72 MBytes  81.6 Mbits/sec
[  1] 15.0000-16.0000 sec  6.31 MBytes  53.0 Mbits/sec
[  1] 16.0000-17.0000 sec  5.12 MBytes  42.9 Mbits/sec
[  1] 17.0000-18.0000 sec  5.05 MBytes  42.3 Mbits/sec
[  1] 18.0000-19.0000 sec  3.45 MBytes  29.0 Mbits/sec
[  1] 19.0000-20.0000 sec  4.77 MBytes  40.0 Mbits/sec
[  1] 20.0000-21.0000 sec  1.93 MBytes  16.1 Mbits/sec
[  1] 21.0000-22.0000 sec  7.62 MBytes  63.9 Mbits/sec
[  1] 22.0000-23.0000 sec  4.06 MBytes  34.1 Mbits/sec
[  1] 23.0000-24.0000 sec  5.04 MBytes  42.2 Mbits/sec
[  1] 24.0000-25.0000 sec  3.13 MBytes  26.2 Mbits/sec
[  1] 25.0000-26.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 26.0000-27.0000 sec  5.76 MBytes  48.3 Mbits/sec
[  1] 27.0000-28.0000 sec  6.98 MBytes  58.5 Mbits/sec
[  1] 28.0000-29.0000 sec  8.90 MBytes  74.6 Mbits/sec
[  1] 29.0000-30.0000 sec  4.17 MBytes  34.9 Mbits/sec
[  1] 30.0000-31.0000 sec  4.94 MBytes  41.4 Mbits/sec
[  1] 31.0000-32.0000 sec  1.76 MBytes  14.8 Mbits/sec
[  1] 32.0000-33.0000 sec  5.34 MBytes  44.8 Mbits/sec
[  1] 33.0000-34.0000 sec  4.46 MBytes  37.4 Mbits/sec
[  1] 34.0000-35.0000 sec  6.48 MBytes  54.3 Mbits/sec
[  1] 35.0000-36.0000 sec  8.09 MBytes  67.8 Mbits/sec
[  1] 36.0000-37.0000 sec  1.45 MBytes  12.2 Mbits/sec
[  1] 37.0000-38.0000 sec  2.83 MBytes  23.7 Mbits/sec
[  1] 38.0000-39.0000 sec   164 KBytes  1.34 Mbits/sec
[  1] 39.0000-40.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 40.0000-41.0000 sec  3.34 MBytes  28.0 Mbits/sec
[  1] 41.0000-42.0000 sec  5.00 MBytes  41.9 Mbits/sec
[  1] 42.0000-43.0000 sec  5.39 MBytes  45.2 Mbits/sec
[  1] 43.0000-44.0000 sec  5.82 MBytes  48.8 Mbits/sec
[  1] 44.0000-45.0000 sec  5.60 MBytes  46.9 Mbits/sec
[  1] 45.0000-46.0000 sec  3.90 MBytes  32.7 Mbits/sec
[  1] 46.0000-47.0000 sec  5.55 MBytes  46.5 Mbits/sec
[  1] 47.0000-48.0000 sec  5.09 MBytes  42.7 Mbits/sec
[  1] 48.0000-49.0000 sec  3.42 MBytes  28.7 Mbits/sec
[  1] 49.0000-50.0000 sec  1.88 MBytes  15.8 Mbits/sec
[  1] 50.0000-51.0000 sec  6.34 MBytes  53.2 Mbits/sec
[  1] 51.0000-52.0000 sec  3.45 MBytes  28.9 Mbits/sec
[  1] 52.0000-53.0000 sec  4.46 MBytes  37.4 Mbits/sec
[  1] 53.0000-54.0000 sec  4.52 MBytes  37.9 Mbits/sec
[  1] 54.0000-55.0000 sec  2.41 MBytes  20.2 Mbits/sec
[  1] 55.0000-56.0000 sec  6.11 MBytes  51.3 Mbits/sec
[  1] 56.0000-57.0000 sec  5.07 MBytes  42.5 Mbits/sec
[  1] 57.0000-58.0000 sec  6.45 MBytes  54.1 Mbits/sec
[  1] 58.0000-59.0000 sec  1.13 MBytes  9.50 Mbits/sec
[  1] 59.0000-60.0000 sec  3.47 MBytes  29.1 Mbits/sec
[  1] 60.0000-61.0000 sec  6.11 MBytes  51.3 Mbits/sec
[  1] 61.0000-62.0000 sec  1.14 MBytes  9.57 Mbits/sec
[  1] 62.0000-63.0000 sec  7.75 MBytes  65.0 Mbits/sec
[  1] 63.0000-64.0000 sec  2.49 MBytes  20.9 Mbits/sec
[  1] 64.0000-65.0000 sec  3.66 MBytes  30.7 Mbits/sec
[  1] 65.0000-66.0000 sec  4.60 MBytes  38.6 Mbits/sec
[  1] 66.0000-67.0000 sec  2.67 MBytes  22.4 Mbits/sec
[  1] 67.0000-68.0000 sec  6.99 MBytes  58.6 Mbits/sec
[  1] 68.0000-69.0000 sec  6.36 MBytes  53.3 Mbits/sec
[  1] 69.0000-70.0000 sec  2.93 MBytes  24.6 Mbits/sec
[  1] 70.0000-71.0000 sec  4.60 MBytes  38.6 Mbits/sec
[  1] 71.0000-72.0000 sec  7.06 MBytes  59.2 Mbits/sec
[  1] 72.0000-73.0000 sec  3.13 MBytes  26.2 Mbits/sec
[  1] 73.0000-74.0000 sec  3.22 MBytes  27.0 Mbits/sec
[  1] 74.0000-75.0000 sec  3.09 MBytes  25.9 Mbits/sec
[  1] 75.0000-76.0000 sec  5.16 MBytes  43.3 Mbits/sec
[  1] 76.0000-77.0000 sec  10.4 MBytes  87.1 Mbits/sec
[  1] 77.0000-78.0000 sec  7.16 MBytes  60.1 Mbits/sec
[  1] 78.0000-79.0000 sec  4.22 MBytes  35.4 Mbits/sec
[  1] 79.0000-80.0000 sec  5.19 MBytes  43.5 Mbits/sec
[  1] 80.0000-81.0000 sec  5.52 MBytes  46.3 Mbits/sec
[  1] 81.0000-82.0000 sec  6.05 MBytes  50.8 Mbits/sec
